"__mcodeCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"6","4.345454545454546","0.0","0.2301255230125523","0.0","1","9","false","PDXDC1","13.0","0","1","0","0","0","0","0.8479338842975207","false","0","PDXDC1","0","0.0"
"11","4.302083333333333","0.0","0.2324455205811138","0.0","3","7","false","JUN","3.0","0","2","1","1","1","0","0.8968098958333334","false","1","JUN","0","0.0"
"9","0.0","0.0","0.0","0.0","0","0","true","TPPP2","0.0","0","0","0","0","0","0","Infinity","false","0","TPPP2","0","0.0"
"2","4.565217391304348","0.012288015805674433","0.21904761904761905","0.6666666666666666","3","8","false","PECAM1","13.333333333333334","0","3","0","0","0","0","0.8919631093544137","false","0","PECAM1","2906","0.38095238095238093"
"15","3.550724637681159","0.04191531685137823","0.2816326530612245","0.3333333333333333","3","7","false","ZNF185","10.666666666666666","0","3",,"0","0","0","0.8890989287964713","false","0","ZNF185","284","0.4305555555555556"
"22","2.1333333333333333","0.0","0.46875","0.0","1","3","false","GABPA","12.0","0","1","0","0","0","0","0.9055555555555556","false","0","GABPA","0","0.0"
"17","2.3076923076923075","0.41025641025641024","0.43333333333333335","0.16666666666666666","4","4","false","CYB5A","2.25","0","4","0","0","0","0","0.7384615384615385","false","0","CYB5A","64","0.35"
"6","3.7363636363636363","0.003787954701215752","0.26763990267639903","0.4","5","8","false","OR51M1","9.6","0","5","0","0","0","0","0.8756198347107439","false","0","OR51M1","218","0.36923076923076925"
"2","5.753623188405797","0.0","0.17380352644836272","0.0","1","10","false","MOB2","15.0","0","1","0","0","0","0","0.8559508124725516","false","0","MOB2","0","0.0"
"7","1.0666666666666667","0.633968253968254","0.9375","0.18681318681318682","14","2","false","CTSK","3.5","0","14","1","1","1","0","0.9952380952380953","false","0","CTSK","166","0.27380952380952384"
"7","1.7333333333333334","0.00380952380952381","0.5769230769230769","0.8333333333333334","4","2","false","CASKIN2","7.75","0","4","0","0","0","0","0.9476190476190476","false","0","CASKIN2","4","0.5166666666666667"
"6","4.163636363636364","0.056515350093331744","0.24017467248908295","0.0","3","7","false","CTNNA3","4.0","0","3","0","0","0","0","0.856198347107438","false","0","CTNNA3","1118","0.3333333333333333"
"4","5.5064935064935066","0.0","0.18160377358490565","0.0","1","8","false","CHPF2","6.0","0","1",,"0","0","0","0.7349121466768526","false","0","CHPF2","0","0.0"
"8","5.546875","0.0","0.18028169014084508","0.0","1","9","false","VGLL3","3.0","0","1","0","0","0","0","0.7158203125","false","0","VGLL3","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","OOSP4A","0.0","0","0","0",,"0","0","Infinity","false","0","OOSP4A","0","0.0"
"15","5.391304347826087","0.0","0.18548387096774194","1.0","2","9","false","BGLAP","3.0","0","2","1","1","1","0","0.8090737240075615","false","0","BGLAP","0","0.75"
"11","3.3125","0.0","0.3018867924528302","0.0","1","6","false","RUNDC3B","32.0","0","1","0","0","0","0","0.927734375","false","0","RUNDC3B","0","0.0"
"6","4.0181818181818185","0.0","0.24886877828054296","0.0","1","8","false","OR13C8","22.0","0","1","0",,"0","0","0.8628099173553718","false","0","OR13C8","0","0.0"
"6","4.945454545454545","0.0","0.20220588235294118","1.0","2","9","false","RPS6KC1","6.0","0","2",,"0","0","0","0.8206611570247934","false","0","RPS6KC1","0","0.75"
"11","3.0625","0.046907964111911504","0.32653061224489793","0.2222222222222222","12","7","false","MAPK14","5.5","0","11","1","1","1","0","0.935546875","false","1","MAPK14","1322","0.16666666666666666"
"10","1.8888888888888888","0.06944444444444445","0.5294117647058824","0.6666666666666666","3","3","false","YME1L1","4.0","0","3","0","0","0","0","0.8222222222222222","false","0","YME1L1","10","0.5714285714285714"
"16","2.5","0.0","0.4","0.0","1","4","false","DHRS13","12.0","0","1","0","0","0","0","0.875","false","0","DHRS13","0","0.0"
"6","7.4363636363636365","0.0","0.13447432762836187","0.0","1","10","false","ZNF311","2.0","0","1",,"0","0","0","0.7074380165289256","false","0","ZNF311","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","STX16","0.0","0","0","0",,"0","0","Infinity","false","0","STX16","0","0.0"
"4","4.35064935064935","0.005730617605894033","0.22985074626865673","0.5333333333333333","6","7","false","PMS2","5.333333333333333","0","6","0","0","0","0","0.8029029793735676","false","0","PMS2","206","0.41025641025641024"
"8","4.578125","0.0","0.21843003412969283","0.0","1","8","false","CCKAR","7.0","0","1",,"0","0","0","0.7763671875","false","0","CCKAR","0","0.0"
"12","2.1578947368421053","0.0","0.46341463414634143","0.0","1","3","false","ZNF582","15.0","0","1",,"0","0","0","0.9228070175438596","false","0","ZNF582","0","0.0"
"2","5.285024154589372","0.0","0.18921389396709323","0.0","1","8","false","SLC2A11","31.0","0","1","0","0","0","0","0.8701507831942614","false","0","SLC2A11","0","0.0"
"22","2.1333333333333333","0.0","0.46875","0.0","1","3","false","ITFG2","12.0","0","1",,"0","0","0","0.9055555555555556","false","0","ITFG2","0","0.0"
"13","1.0","0.0","1.0","0.0","1","1","false","RHOBTB3","1.0","0","1","0","0","0","0","1.0","false","0","RHOBTB3","0","0.0"
"2","5.584541062801932","0.004150480639841783","0.17906574394463667","0.5","5","10","false","SGCA","6.2","0","5","0","0","0","0","0.8610745132484263","false","0","SGCA","936","0.44285714285714284"
"2","5.758454106280193","0.0","0.17365771812080538","0.0","1","10","false","FKBP10","8.0","0","1","0","0","0","0","0.8558044210218123","false","0","FKBP10","0","0.0"
"12","2.1052631578947367","0.0","0.47500000000000003","1.0","2","3","false","RASGEF1B","11.5","0","2","0","0","0","0","0.9263157894736842","false","0","RASGEF1B","0","0.7666666666666667"
,"0.0","0.0","0.0","0.0","0","0","true","KAT5","0.0","0","0","0","0","0","0","Infinity","false","0","KAT5","0","0.0"
"12","2.1578947368421053","0.0","0.46341463414634143","0.0","1","3","false","PLCZ1","15.0","0","1",,"0","0","0","0.9228070175438596","false","0","PLCZ1","0","0.0"
"3","2.4074074074074074","0.0","0.41538461538461535","0.0","1","3","false","UBA2","15.0","0","1",,"0","0","0","0.9437037037037037","false","0","UBA2","0","0.0"
