uidA,uidB,Predicted Classes,Probability Score,Regression Value,mean_prob_aff,stringdb_check,score_norm,uidA_irefindex,uidB_irefindex,method,Host_organism_taxid,numParticipants,irefindex_check,GeneA,GeneB,OP_A,OP_B,OP_check
P23219,Q9P2N7,1,0.551219512,0.401633054,0.476426283,0,,,,,,,0,PTGS1,KLHL13,1,0,1
P43235,Q9NRZ9,1,0.551219512,0.401632879,0.476426196,0,,,,,,,0,CTSK,HELLS,1,0,1
P25940,Q86YJ6,1,0.551219512,0.401632835,0.476426173,0,,,,,,,0,COL5A3,THNSL2,1,0,1
P05997,Q8IWR1,1,0.551219512,0.401632873,0.476426193,0,,,,,,,0,COL5A2,TRIM59,1,0,1
P01106,Q9P2F9,1,0.526829268,0.401633103,0.464231186,0,,,,,,,0,MYC,ZNF319,1,0,1
O43711,P04198,1,0.551219512,0.401633029,0.47642627,1,0.030624264,,,,,,0,TLX3,MYCN,0,1,1
O14788,Q2MV58,1,0.551219512,0.401633051,0.476426282,0,,,,,,,0,TNFSF11,TCTN1,1,0,1
P10415,Q9UNM6,1,0.551219512,0.401632976,0.476426244,0,,,,,,,0,BCL2,PSMD13,1,0,1
P05997,Q13087,1,0.551219512,0.401632909,0.476426211,0,,,,,,,0,COL5A2,PDIA2,1,0,1
Q02040,Q9UNN8,1,0.551219512,0.401633085,0.476426299,0,,,,,,,0,AKAP17A,PROCR,0,1,1
P04198,P63279,1,0.551219512,0.401632921,0.476426217,0,,,,,,,0,MYCN,UBE2I,1,0,1
P12524,Q14500,1,0.551219512,0.401633133,0.476426322,0,,,,,,,0,MYCL,KCNJ12,1,0,1
A0MZ66,P05412,1,0.551219512,0.401632834,0.476426173,1,0.003533569,,,,,,0,SHTN1,JUN,0,1,1
P50749,Q9Y4K3,1,0.551219512,0.40163313,0.476426321,0,,,,,,,0,RASSF2,TRAF6,0,1,1
P43235,Q9BXL6,1,0.551219512,0.401633058,0.476426285,0,,,,,,,0,CTSK,CARD14,1,0,1
P02452,P63252,1,0.551219512,0.401633104,0.476426308,0,,,,,,,0,COL1A1,KCNJ2,1,0,1
O14904,P10415,1,0.551219512,0.401632949,0.47642623,0,,,,,,,0,WNT9A,BCL2,0,1,1
Q9UNN8,Q9Y388,1,0.551219512,0.401633477,0.476426495,0,,,,,,,0,PROCR,RBMX2,1,0,1
P04198,P13385,1,0.551219512,0.401633033,0.476426272,1,0.146054181,,,,,,0,MYCN,TDGF1,1,0,1
P12524,Q08378,1,0.551219512,0.401632898,0.476426205,0,,,,,,,0,MYCL,GOLGA3,1,0,1
P19838,Q9C0B9,1,0.551219512,0.401633186,0.476426349,0,,,,,,,0,NFKB1,ZCCHC2,1,0,1
Q16539,Q8NFC6,1,0.531707317,0.401681061,0.466694189,0,,,,,,,0,MAPK14,BOD1L1,1,0,1
P04198,P84085,1,0.526829268,0.401633295,0.464231282,0,,,,,,,0,MYCN,ARF5,1,0,1
P12643,Q96MY7,1,0.526829268,0.401633197,0.464231233,0,,,,,,,0,BMP2,FAM161B,1,0,1
P31749,Q6PJG2,1,0.551219512,0.40163284,0.476426176,0,,,,,,,0,AKT1,MIDEAS,1,0,1
O14788,O75688,1,0.551219512,0.401633171,0.476426342,0,,,,,,,0,TNFSF11,PPM1B,1,0,1
O95157,P04637,1,0.551219512,0.401633082,0.476426297,0,,,,,,,0,NXPH3,TP53,0,1,1
P25940,P52737,1,0.526829268,0.401681031,0.46425515,0,,,,,,,0,COL5A3,ZNF136,1,0,1
P31749,Q9NXG0,1,0.551219512,0.401633059,0.476426286,0,,,,,,,0,AKT1,CNTLN,1,0,1
P05997,P48048,1,0.551219512,0.401633053,0.476426282,0,,,,,,,0,COL5A2,KCNJ1,1,0,1
P04637,P47756,1,0.551219512,0.401633108,0.47642631,1,0.049469965,,,,,,0,TP53,CAPZB,1,0,1
P17612,Q8IUF8,1,0.551219512,0.401633093,0.476426302,0,,,,,,,0,PRKACA,RIOX2,1,0,1
P10451,Q5VYY1,1,0.551219512,0.401633346,0.476426429,0,,,,,,,0,SPP1,ANKRD22,1,0,1
P13686,P18075,1,0.551219512,0.401633191,0.476426351,0,,,,,,,0,ACP5,BMP7,0,1,1
P58182,Q9Y4K3,1,0.551219512,0.401633245,0.476426379,0,,,,,,,0,OR12D2,TRAF6,0,1,1
P25940,Q9Y6N1,1,0.526829268,0.401633197,0.464231233,0,,,,,,,0,COL5A3,COX11,1,0,1
O75167,P04198,1,0.551219512,0.40163285,0.476426181,0,,,,,,,0,PHACTR2,MYCN,0,1,1
P12755,P18075,1,0.551219512,0.401633016,0.476426264,0,,,,,,,0,SKI,BMP7,0,1,1
P08123,P31271,1,0.551219512,0.401632875,0.476426194,0,,,,,,,0,COL1A2,HOXA13,1,0,1
P12931,Q5T200,1,0.551219512,0.401632873,0.476426192,0,,,,,,,0,SRC,ZC3H13,1,0,1
P04637,Q8IYW5,1,0.526829268,0.401633193,0.464231231,1,0.342756184,,,,,,0,TP53,RNF168,1,0,1
P05198,Q04206,1,0.551219512,0.401633029,0.476426271,1,0.080094229,,,,,,0,EIF2S1,RELA,0,1,1
P12524,Q96ME1,1,0.551219512,0.401633174,0.476426343,0,,,,,,,0,MYCL,FBXL18,1,0,1
Q8IYJ2,Q9UNN8,1,0.526829268,0.401633275,0.464231272,0,,,,,,,0,C10orf67,PROCR,0,1,1
O14793,P02452,1,0.551219512,0.40163284,0.476426176,0,,,,,,,0,MSTN,COL1A1,0,1,1
Q04206,Q8NGA1,1,0.551219512,0.401633097,0.476426305,0,,,,,,,0,RELA,OR1M1,1,0,1
P02452,P15882,1,0.52195122,0.401681343,0.461816281,0,,,,,,,0,COL1A1,CHN1,1,0,1
P05997,Q6NXT6,1,0.52195122,0.401681184,0.461816202,0,,,,,,,0,COL5A2,TAPT1,1,0,1
O60763,Q16539,1,0.551219512,0.40163281,0.476426161,0,,,,,,,0,USO1,MAPK14,0,1,1
P05997,Q9Y606,1,0.551219512,0.401632776,0.476426144,0,,,,,,,0,COL5A2,PUS1,1,0,1
A4FU49,Q9UNN8,1,0.551219512,0.401632928,0.47642622,0,,,,,,,0,SH3D21,PROCR,0,1,1
A0A0A0MS14,P12643,1,0.551219512,0.401633008,0.47642626,0,,,,,,,0,IGHV1-45,BMP2,0,1,1
P06401,Q9UKF6,1,0.526829268,0.40163325,0.464231259,0,,,,,,,0,PGR,CPSF3,1,0,1
P08123,Q9Y6Q5,1,0.551219512,0.401633172,0.476426342,0,,,,,,,0,COL1A2,AP1M2,1,0,1
P28482,Q9BPX3,1,0.551219512,0.401632874,0.476426193,0,,,,,,,0,MAPK1,NCAPG,1,0,1
P25940,Q13495,1,0.551219512,0.401632773,0.476426143,0,,,,,,,0,COL5A3,MAMLD1,1,0,1
P0DJD8,P31749,1,0.551219512,0.401632848,0.47642618,0,,,,,,,0,PGA3,AKT1,0,1,1
